# Unicode 17.0 sequences supplementing the existing Twemoji catalog.
# Code points	PNG filename	Unicode name	Emoji version
1F468 1F3FE 200D 2708	1f468-1f3fe-200d-2708-fe0f.png	man pilot: medium-dark skin tone	4.0
1F468 1F3FF 200D 2708	1f468-1f3ff-200d-2708-fe0f.png	man pilot: dark skin tone	4.0
1F469 200D 2708	1f469-200d-2708-fe0f.png	woman pilot	4.0
1F469 1F3FB 200D 2708	1f469-1f3fb-200d-2708-fe0f.png	woman pilot: light skin tone	4.0
1F469 1F3FC 200D 2708	1f469-1f3fc-200d-2708-fe0f.png	woman pilot: medium-light skin tone	4.0
1F469 1F3FD 200D 2708	1f469-1f3fd-200d-2708-fe0f.png	woman pilot: medium skin tone	4.0
1F469 1F3FE 200D 2708	1f469-1f3fe-200d-2708-fe0f.png	woman pilot: medium-dark skin tone	4.0
1F469 1F3FF 200D 2708	1f469-1f3ff-200d-2708-fe0f.png	woman pilot: dark skin tone	4.0
1F46E 200D 2642	1f46e-200d-2642-fe0f.png	man police officer	4.0
1F46E 1F3FB 200D 2642	1f46e-1f3fb-200d-2642-fe0f.png	man police officer: light skin tone	4.0
1F46E 1F3FC 200D 2642	1f46e-1f3fc-200d-2642-fe0f.png	man police officer: medium-light skin tone	4.0
1F46E 1F3FD 200D 2642	1f46e-1f3fd-200d-2642-fe0f.png	man police officer: medium skin tone	4.0
1F46E 1F3FE 200D 2642	1f46e-1f3fe-200d-2642-fe0f.png	man police officer: medium-dark skin tone	4.0
1F46E 1F3FF 200D 2642	1f46e-1f3ff-200d-2642-fe0f.png	man police officer: dark skin tone	4.0
1F46E 200D 2640	1f46e-200d-2640-fe0f.png	woman police officer	4.0
1F46E 1F3FB 200D 2640	1f46e-1f3fb-200d-2640-fe0f.png	woman police officer: light skin tone	4.0
1F46E 1F3FC 200D 2640	1f46e-1f3fc-200d-2640-fe0f.png	woman police officer: medium-light skin tone	4.0
1F46E 1F3FD 200D 2640	1f46e-1f3fd-200d-2640-fe0f.png	woman police officer: medium skin tone	4.0
1F46E 1F3FE 200D 2640	1f46e-1f3fe-200d-2640-fe0f.png	woman police officer: medium-dark skin tone	4.0
1F46E 1F3FF 200D 2640	1f46e-1f3ff-200d-2640-fe0f.png	woman police officer: dark skin tone	4.0
1F575 FE0F	1f575.png	detective	0.7
1F575 200D 2642 FE0F	1f575-fe0f-200d-2642-fe0f.png	man detective	4.0
1F575 FE0F 200D 2642	1f575-fe0f-200d-2642-fe0f.png	man detective	4.0
1F575 200D 2642	1f575-fe0f-200d-2642-fe0f.png	man detective	4.0
1F575 1F3FB 200D 2642	1f575-1f3fb-200d-2642-fe0f.png	man detective: light skin tone	4.0
1F575 1F3FC 200D 2642	1f575-1f3fc-200d-2642-fe0f.png	man detective: medium-light skin tone	4.0
1F575 1F3FD 200D 2642	1f575-1f3fd-200d-2642-fe0f.png	man detective: medium skin tone	4.0
1F575 1F3FE 200D 2642	1f575-1f3fe-200d-2642-fe0f.png	man detective: medium-dark skin tone	4.0
1F575 1F3FF 200D 2642	1f575-1f3ff-200d-2642-fe0f.png	man detective: dark skin tone	4.0
1F575 200D 2640 FE0F	1f575-fe0f-200d-2640-fe0f.png	woman detective	4.0
1F575 FE0F 200D 2640	1f575-fe0f-200d-2640-fe0f.png	woman detective	4.0
1F575 200D 2640	1f575-fe0f-200d-2640-fe0f.png	woman detective	4.0
1F575 1F3FB 200D 2640	1f575-1f3fb-200d-2640-fe0f.png	woman detective: light skin tone	4.0
1F575 1F3FC 200D 2640	1f575-1f3fc-200d-2640-fe0f.png	woman detective: medium-light skin tone	4.0
1F575 1F3FD 200D 2640	1f575-1f3fd-200d-2640-fe0f.png	woman detective: medium skin tone	4.0
1F575 1F3FE 200D 2640	1f575-1f3fe-200d-2640-fe0f.png	woman detective: medium-dark skin tone	4.0
